CIN,Company Name,Company Status,RoC,Registration Number,Company Category,Company Sub Category,Class of Company,Date of Incorporation,Age of Company,Activity,Number of Members,LLP Identification Number,Main division of business activity to be carried out in India,Description of main division,Number Of Partners,Number of Designated Partners,Unnamed: 0
U15490MH2017PTC299682,SAINT AUBIN BEVERAGES PRIVATE LIMITED,Active,RoC-Mumbai,299682,Company limited by Shares,Non-govt company,Private,13 September 2017,"4 years, 6 month, 12 days",Manufacture of other food products  Click here to see other companies involved in same activity.,-,,,,,,
U52390DL2016PTC290833,SAINT BEARD RETAIL PRIVATE LIMITED,Active,RoC-Delhi,290833,Company limited by Shares,Non-govt company,Private,10 February 2016,"6 years, 1 month, 15 days",Other retail trade of new goods in specialized stores  Click here to see other companies involved in same activity.,-,,,,,,
U26933GJ2003PTC043224,SAINT CERAMIC PRIVATE LIMITED,Active,RoC-Ahmedabad,43224,Company limited by Shares,Non-govt company,Private,24 November 2003,"18 years, 4 month, 1 days",Manufacture of non-metallic mineral products n.e.c.  Click here to see other companies involved in same activity.,-,,,,,,
U63030MH2017PTC295607,SAINT CRESCENS LOGISTICS PRIVATE LIMITED,Active,RoC-Mumbai,295607,Company limited by Shares,Non-govt company,Private,31 May 2017,"4 years, 9 month, 25 days",Supporting and auxiliary transport activities; activities of travel agencies  Click here to see other companies involved in same activity.,-,,,,,,
U67190MH2007PTC171969,SAINT DEVELOPERS PRIVATE LIMITED,Active,RoC-Mumbai,171969,Company limited by Shares,Non-govt company,Private,25 June 2007,"14 years, 9 month, 0 days","Activities auxiliary to financial intermediation, except insurance and pension funding.[This Group includes activities involved in or closely related to financial inter-mediation other than insurance and pension funding but not themselves involving financial inter-mediation].  Click here to see other companies involved in same activity.",-,,,,,,
U15209PB2021PTC054182,SAINT FARID TRADING PRIVATE LIMITED,Active,RoC-Chandigarh,54182,Company limited by Shares,Non-govt company,Private,08 September 2021,"0 years, 6 month, 17 days",Manufacture of dairy product [production of raw milk is classified in class 0121]  Click here to see other companies involved in same activity.,-,,,,,,
U74140DL2009PTC193772,SAINT HONORE CONSULTING PRIVATE LIMITED,Active,RoC-Delhi,193772,Company limited by Shares,Non-govt company,Private,01 September 2009,"12 years, 6 month, 24 days","Legal, accounting, book-keeping and auditing activities; tax consultancy; market research and public opinion polling; business and management consultancy  Click here to see other companies involved in same activity.",-,,,,,,
,SAINT INTELLECTUALS LLP,Active,RoC-Kanpur,,,,,23 October 2018,"3 years, 5 month, 2 days",,,AAN-4622,Education,Education,0,2,
U80901WB2013FTC191996,SAINT JAMES HUMAN RESOURCE DEVELOPMENT SERVICES INDIA PRIVATE LIMITED,Active,RoC-Kolkata,191996,Company limited by Shares,Subsidiary of Foreign Company,Private,08 April 2013,"8 years, 11 month, 17 days",Other education  Click here to see other companies involved in same activity.,-,,,,,,
U80302RJ2008NPL025640,SAINT JOSEPH EDUCATIONAL INSTITUTION,Active,RoC-Jaipur,25640,Company limited by Shares,Non-govt company,Private,08 January 2008,"14 years, 2 month, 17 days",Higher education [Includes post-secondary/senior secondary sub-degree level education that leads to university degree or equivalent.]  Click here to see other companies involved in same activity.,-,,,,,,
U36994KL2018PTC054192,SAINT JOSEPH GRANITES PRIVATE LIMITED,Active,RoC-Ernakulam,54192,Company limited by Shares,Non-govt company,Private,30 July 2018,"3 years, 7 month, 26 days",Manufacturing n.e.c.  Click here to see other companies involved in same activity.,-,,,,,,
U74999PN2016NPL166913,SAINT MARYS JACOBITE SYRIAN FOUNDATION,Active,RoC-Pune,166913,Company limited by Shares,Non-govt company,Private,24 October 2016,"5 years, 5 month, 1 days",Business activities n.e.c.  Click here to see other companies involved in same activity.,-,,,,,,
U24233UP2012PTC053572,SAINT MELAWARES PRIVATE LIMITED,Active,RoC-Kanpur,53572,Company limited by Shares,Non-govt company,Private,09 November 2012,"9 years, 4 month, 16 days",Manufacture of other chemical products  Click here to see other companies involved in same activity.,-,,,,,,
,SAINT ONLINE GAMES LLP,Active,RoC-Kanpur,,,,,19 June 2019,"2 years, 9 month, 6 days",,,AAP-6808,Computer and related activities,Computer and related activities,0,3,
U80211TN2011PTC080162,SAINT PATRICK'S EDUCATIONAL SOLUTIONS PRIVATE LIMITED,Active,RoC-Chennai,80162,Company limited by Shares,Non-govt company,Private,15 April 2011,"10 years, 11 month, 10 days",Secondary/Senior Secondary education  Click here to see other companies involved in same activity.,-,,,,,,
U65990KL2019PLC057466,SAINT PHILOMENAS KOONAMMAVU NIDHI LIMITED,Active,RoC-Ernakulam,57466,Company limited by Shares,Non-govt company,Public,02 April 2019,"2 years, 11 month, 23 days",Other financial intermediation. [This group includes financial intermediation other than that conducted by monetary institutions.]  Click here to see other companies involved in same activity.,-,,,,,,
U65100KL2018PTC054567,SAINT PHILOMENAS SADHUJANA SANGHAM CHITS PRIVATE LIMITED,Active,RoC-Ernakulam,54567,Company limited by Shares,Non-govt company,Private,07 September 2018,"3 years, 6 month, 18 days",Monetary Intermediation [This group includes the obtaining of funds in the form of deposits]  Click here to see other companies involved in same activity.,-,,,,,,
U74994TG2018NPL124616,SAINT POET BAMMERA POTANA SMRITIVANAM FOUNDATION,Active,RoC-Hyderabad,124616,Company Limited by Guarantee,Guarantee and Association company,Private,21 May 2018,"3 years, 10 month, 4 days",Business activities n.e.c.  Click here to see other companies involved in same activity.,100,,,,,,
U73200TN2018NPL125161,SAINT RHENIUS INSTITUTE OF MEDICAL AND SCIENTIFIC RESEARCH FOUNDATION,Active,RoC-Chennai,125161,Company limited by Shares,Non-govt company,Private,08 October 2018,"3 years, 5 month, 17 days",Research and experimental development on social sciences and humanities (SSH). [This class includes systematic creative work in the fields of research and development in social sciences and humanities.(Market research is classified in class 7413)].  Click here to see other companies involved in same activity.,-,,,,,,
U74999TN2017PTC115076,SAINT SEBASTIAN TELECOM SOLUTIONS PRIVATE LIMITED,Active,RoC-Chennai,115076,Company limited by Shares,Non-govt company,Private,21 February 2017,"5 years, 1 month, 4 days",Business activities n.e.c.  Click here to see other companies involved in same activity.,-,,,,,,
U85300BR2022NPL056604,SAINT YUGAL KISHORE FOUNDATION,Active,RoC-Patna,56604,Company limited by Shares,Non-govt company,Private,23 February 2022,"0 years, 1 month, 2 days",Social work activities  Click here to see other companies involved in same activity.,-,,,,,,
U26999TN2020PTC134262,SAINT-GOBAIN INDUSTRIES INDIA PRIVATE LIMITED,Active,RoC-Chennai,134262,Company limited by Shares,Non-govt company,Private,05 February 2020,"2 years, 1 month, 20 days",Manufacture of non-metallic mineral products n.e.c.  Click here to see other companies involved in same activity.,-,,,,,,
L26101MH1973PLC018367,SAINT-GOBAIN SEKURIT INDIA LIMITED,Active,RoC-Pune,18367,Company limited by Shares,Non-govt company,Public,13 November 1973,"48 years, 4 month, 12 days",Manufacture of glass and glass products  Click here to see other companies involved in same activity.,-,,,,,,
,SAINT-OM COMMOTRADE LLP,Active,RoC-Kolkata,,,,,16 November 2018,"3 years, 4 month, 9 days",,,AAN-5553,"Retail trade,except of motor vehicles and motorcycles,repair of personal&household goods","Retail trade,except of motor vehicles and motorcycles,repair of personal&household goods",0,2,
U67100UP2011PTC045602,SAINTBLESSINGS WEALTH CREATORS PRIVATE LIMITED,Active,RoC-Kanpur,45602,Company limited by Shares,Non-govt company,Private,06 July 2011,"10 years, 8 month, 19 days","Activities auxiliary to financial intermediation, except insurance and pension funding.[This Group includes activities involved in or closely related to financial inter-mediation other than insurance and pension funding but not themselves involving financial inter-mediation].  Click here to see other companies involved in same activity.",-,,,,,,
,SAINTFARM AGRO LLP,Active,RoC-Mumbai,,,,,26 May 2020,"1 years, 9 month, 30 days",,,AAS-4883,Manufacture of food products and beverages,Manufacture of food products and beverages,0,2,
,SAINTFOIN ENTERPRISE LLP,Active,RoC-Ahmedabad,,,,,20 January 2012,"10 years, 2 month, 5 days",,,AAA-7695,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","Wholesale trade and commission trade, except of motor vehicles and motorcycles",0,2,
,SAINTGEEKS TECHLABS LLP,Active,RoC-Kolkata,,,,,04 September 2015,"6 years, 6 month, 21 days",,,AAE-6966,Computer and related activities,Computer and related activities,0,2,
U15549WB2020OPC237387,SAINTHIA FLOUR MILLS (OPC) PRIVATE LIMITED,Active,RoC-Kolkata,237387,Company limited by Shares,Non-govt company,Private(One Person Company),08 June 2020,"1 years, 9 month, 17 days",Manufacture of beverages  Click here to see other companies involved in same activity.,-,,,,,,
U70109WB2017PTC222954,SAINTHIA GPJ CONSTRUCTION PRIVATE LIMITED,Active,RoC-Kolkata,222954,Company limited by Shares,Non-govt company,Private,27 September 2017,"4 years, 5 month, 28 days","Real estate activities with own or leased property. [This class includes buying, selling, renting and operating of self-owned or leased real estate such as apartment building and dwellings, non-residential buildings, developing and subdividing real estate into lots etc. Also included are development and sale of land and cemetery lots, operating of apartment hotels and residential mobile home sites.(Development on own account involving construction is classified in class 4520).]  Click here to see other companies involved in same activity.",-,,,,,,
,SAINTHIA SAND UDYOG LLP,Active,RoC-Kolkata,,,,,22 April 2019,"2 years, 11 month, 3 days",,,AAO-9944,Other Mining and Quarrying,Other Mining and Quarrying,0,2,
U74999PN2018PTC175158,SAINTINE INDUSTRIAL SERVICES PRIVATE LIMITED,Active,RoC-Pune,175158,Company limited by Shares,Non-govt company,Private,07 March 2018,"4 years, 0 month, 18 days",Business activities n.e.c.  Click here to see other companies involved in same activity.,-,,,,,,
U65999TN2019PTC127176,SAINTJUDES CHIT FUNDS PRIVATE LIMITED,Active,RoC-Chennai,127176,Company limited by Shares,Non-govt company,Private,29 January 2019,"3 years, 1 month, 27 days",Other financial intermediation. [This group includes financial intermediation other than that conducted by monetary institutions.]  Click here to see other companies involved in same activity.,-,,,,,,
U24100UR2016PLC007244,SAINTLIFE PHARMACEUTICALS LIMITED,Active,RoC-Uttarakhand,7244,Company limited by Shares,Non-govt company,Public,10 August 2016,"5 years, 7 month, 15 days",Manufacture of basic chemicals  Click here to see other companies involved in same activity.,-,,,,,,
U51909DL2021PTC387836,SAINTLY MARKETING PRIVATE LIMITED,Active,RoC-Delhi,387836,Company limited by Shares,Non-govt company,Private,06 October 2021,"0 years, 5 month, 19 days",Other wholesale [Includes specialized wholesale not covered in any one of the previous categories and wholesale in a variety of goods without any particular specialization.]  Click here to see other companies involved in same activity.,-,,,,,,
U74900TG2015PTC099914,SAINTREE CONSULTING INDIA PRIVATE LIMITED,Active,RoC-Hyderabad,99914,Company limited by Shares,Non-govt company,Private,24 July 2015,"6 years, 8 month, 1 days",Business activities n.e.c.  Click here to see other companies involved in same activity.,-,,,,,,
U74999KL2021PTC068139,SAINTS & MASTERS PRIVATE LIMITED,Active,RoC-Ernakulam,68139,Company limited by Shares,Non-govt company,Private,19 March 2021,"1 years, 0 month, 6 days",Business activities n.e.c.  Click here to see other companies involved in same activity.,-,,,,,,
U74999HR2019PTC079126,SAINTS AND SINNERS INDIA PRIVATE LIMITED,Active,RoC-Delhi,79126,Company limited by Shares,Non-govt company,Private,14 March 2019,"3 years, 0 month, 11 days",Business activities n.e.c.  Click here to see other companies involved in same activity.,-,,,,,,
,SAINTS AND WARRIORS HOLDINGS LLP,Active,RoC-Mumbai,,,,,30 November 2012,"9 years, 3 month, 25 days",,,AAB-2373,Other Business Activities,Other Business Activities,0,2,
U45500KL2018PTC055541,SAINTS CONSTRUCTIONS PRIVATE LIMITED,Active,RoC-Ernakulam,55541,Company limited by Shares,Non-govt company,Private,16 November 2018,"3 years, 4 month, 9 days",Renting of construction or demolition equipment with operator [Renting of machinery and equipment without operator is classified under Division 71]  Click here to see other companies involved in same activity.,-,,,,,,
U67100GJ2021PTC122654,SAINTS WEALTH HOLDING PRIVATE LIMITED,Active,RoC-Ahmedabad,122654,Company limited by Shares,Non-govt company,Private,17 May 2021,"0 years, 10 month, 8 days","Activities auxiliary to financial intermediation, except insurance and pension funding.[This Group includes activities involved in or closely related to financial inter-mediation other than insurance and pension funding but not themselves involving financial inter-mediation].  Click here to see other companies involved in same activity.",-,,,,,,
U45309TN2021PTC146898,SAINTSTONE PROPERTIES PRIVATE LIMITED,Active,RoC-Chennai,146898,Company limited by Shares,Non-govt company,Private,08 October 2021,"0 years, 5 month, 17 days","Building installation [ These activities are usually performed at the site of construction, although parts of the job may be carried out in a special shop. Repair of installations are also included in the corresponding sub-classes.]  Click here to see other companies involved in same activity.",-,,,,,,
U51909BR2018PTC038414,SAINWAY LIFECARE & INFRA PROJECT PRIVATE LIMITED,Active,RoC-Patna,38414,Company limited by Shares,Non-govt company,Private,08 June 2018,"3 years, 9 month, 17 days",Other wholesale [Includes specialized wholesale not covered in any one of the previous categories and wholesale in a variety of goods without any particular specialization.]  Click here to see other companies involved in same activity.,-,,,,,,
U85300BR2021NPL052602,SAINY SENA WELFARE ORGANIZATION,Active,RoC-Patna,52602,Company limited by Shares,Non-govt company,Private,28 June 2021,"0 years, 8 month, 27 days",Social work activities  Click here to see other companies involved in same activity.,-,,,,,,
U74999PN2018PLC175847,SAIO INFRA LIMITED,Active,RoC-Pune,175847,Company limited by Shares,Non-govt company,Public,06 April 2018,"3 years, 11 month, 19 days",Business activities n.e.c.  Click here to see other companies involved in same activity.,-,,,,,,
U45201PB2002PTC025573,SAIOM COLONIZERS PRIVATE LIMITED,Active,RoC-Chandigarh,25573,Company limited by Shares,Non-govt company,Private,14 November 2002,"19 years, 4 month, 11 days",Building of complete constructions or parts thereof; civil engineering  Click here to see other companies involved in same activity.,-,,,,,,
U45200MH2000PTC129141,SAIOM DEVELOPERS PRIVATE LIMITED,Active,RoC-Mumbai,129141,Company limited by Shares,Non-govt company,Private,13 October 2000,"21 years, 5 month, 12 days",Building of complete constructions or parts thereof; civil engineering  Click here to see other companies involved in same activity.,-,,,,,,
U25209PB1997PTC020298,SAIOM POLYMERS PRIVATE LIMITED,Active,RoC-Chandigarh,20298,Company limited by Shares,Non-govt company,Private,31 July 1997,"24 years, 7 month, 25 days",Manufacture of plastic products  Click here to see other companies involved in same activity.,-,,,,,,
U29884PB2000PTC023643,SAIOM SANITATORS AND PLASTICS PRIVATE LIMITED,Active,RoC-Chandigarh,23643,Company limited by Shares,Non-govt company,Private,25 April 2000,"21 years, 11 month, 0 days",MANUFACTURE OF MACHINERY AND EQUIPMENT N.E.C.  Click here to see other companies involved in same activity.,-,,,,,,
U63040OR2009PTC011047,SAIOM TOURS & TRANSPORT PRIVATE LIMITED,Active,RoC-Cuttack,11047,Company limited by Shares,Non-govt company,Private,18 August 2009,"12 years, 7 month, 7 days",Supporting and auxiliary transport activities; activities of travel agencies  Click here to see other companies involved in same activity.,-,,,,,,
U51223OR2015PTC018765,SAIOMM SEAFOOD EXPORTS PRIVATE LIMITED,Active,RoC-Cuttack,18765,Company limited by Shares,Non-govt company,Private,10 March 2015,"7 years, 0 month, 15 days","Wholesale of agricultural raw material, live animals, food beverages and tobacco  Click here to see other companies involved in same activity.",-,,,,,,
