CIN,Name,url,roc,status
U24249WB1980PLC032673,ASIATIC GASES LTD,https://www.zaubacorp.com/company/ASIATIC-GASES-LTD/U24249WB1980PLC032673,Kolkata,Active
U51109MH2009PTC189860,ASIATIC IMPERIA PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIATIC-IMPERIA-PRIVATE-LIMITED/U51109MH2009PTC189860,Mumbai,Active
U19115UP2011PLC047690,ASIATIC LEATHERKRAFTS LIMITED,https://www.zaubacorp.com/company/ASIATIC-LEATHERKRAFTS-LIMITED/U19115UP2011PLC047690,Kanpur,Strike Off
U19110UP2016PTC085842,ASIATIC LEATHERS PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIATIC-LEATHERS-PRIVATE-LIMITED/U19110UP2016PTC085842,Kanpur,Active
U74999MP2017NPL043598,ASIATIC LIBERAL MULTIFARIOUS ASSOCIATION,https://www.zaubacorp.com/company/ASIATIC-LIBERAL-MULTIFARIOUS-ASSOCIATION/U74999MP2017NPL043598,Gwalior,Active
U74999MH2015PTC266652,ASIATIC MARITIME SERVICES PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIATIC-MARITIME-SERVICES-PRIVATE-LIMITED/U74999MH2015PTC266652,Mumbai,Active
U29199KL2003PTC016114,ASIATIC MEDICAL AND ENGINEERING INDIA PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIATIC-MEDICAL-AND-ENGINEERING-INDIA-PRIVATE-LIMITED/U29199KL2003PTC016114,Ernakulam,Strike Off
U27100WB2009PTC138369,ASIATIC METCAST PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIATIC-METCAST-PRIVATE-LIMITED/U27100WB2009PTC138369,Kolkata,Active
U99999MH1996PLC102751,ASIATIC OFFSHORE LIMITED,https://www.zaubacorp.com/company/ASIATIC-OFFSHORE-LIMITED/U99999MH1996PLC102751,Mumbai,Strike Off
U74899DL1995PLC066868,ASIATIC PACKAGING LIMITED,https://www.zaubacorp.com/company/ASIATIC-PACKAGING-LIMITED/U74899DL1995PLC066868,Delhi,Strike Off
U45200MH1982PLC025999,ASIATIC PROPERTIES LTD,https://www.zaubacorp.com/company/ASIATIC-PROPERTIES-LTD/U45200MH1982PLC025999,Mumbai,Active
U51909KA2020OPC135740,ASIATIC SOURCING (OPC) PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIATIC-SOURCING-OPC-PRIVATE-LIMITED/U51909KA2020OPC135740,Bangalore,Active
U15142CH1996PLC018102,ASIATIC SPICE AND EXOTIC OILS LIMITED,https://www.zaubacorp.com/company/ASIATIC-SPICE-AND-EXOTIC-OILS-LIMITED/U15142CH1996PLC018102,Chandigarh,Strike Off
AAP-5146,ASIATIC STRUCTURES LLP,https://www.zaubacorp.com/company/ASIATIC-STRUCTURES-LLP/AAP-5146,Mumbai,Active
U29299UP1961PLC010666,ASIATIC THERMICS LIMITED,https://www.zaubacorp.com/company/ASIATIC-THERMICS-LIMITED/U29299UP1961PLC010666,Kanpur,Active
U63040MH1976PTC019219,ASIATIC TRAVEL SERVICE AND CARGO PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIATIC-TRAVEL-SERVICE-AND-CARGO-PRIVATE-LIMITED/U63040MH1976PTC019219,Mumbai,Strike Off
AAK-8458,ASIATIQUE BIOTECH LLP,https://www.zaubacorp.com/company/ASIATIQUE-BIOTECH-LLP/AAK-8458,Chennai,Active
U15100MH2020PTC350108,ASIATIQUE FOODS TRADE PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIATIQUE-FOODS-TRADE-PRIVATE-LIMITED/U15100MH2020PTC350108,Mumbai,Active
U63030RJ2016PTC054765,ASIATISCH WORLDWIDE LOGISTICS PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIATISCH-WORLDWIDE-LOGISTICS-PRIVATE-LIMITED/U63030RJ2016PTC054765,Jaipur,Active
U63090PN2004PTC019351,ASIATRAVEL (INTERNATIONAL) PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIATRAVEL-INTERNATIONAL-PRIVATE-LIMITED/U63090PN2004PTC019351,Pune,Strike Off
U74999MH2018PTC308543,ASIAUVSAA PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIAUVSAA-PRIVATE-LIMITED/U74999MH2018PTC308543,Mumbai,Active
U41000MH2019PTC333014,ASIAWATER SYSTEM PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIAWATER-SYSTEM-PRIVATE-LIMITED/U41000MH2019PTC333014,Mumbai,Active
U70100UP2020PTC125941,ASIAWIN VENTURES PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIAWIN-VENTURES-PRIVATE-LIMITED/U70100UP2020PTC125941,Kanpur,Active
U74999HR2018PTC072156,ASIAWISE CROSS-BORDER CONSULTING INDIA PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIAWISE-CROSS-BORDER-CONSULTING-INDIA-PRIVATE-LIMITED/U74999HR2018PTC072156,Delhi,Active
U30009MH1996PTC099744,ASIC INFOTECH PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIC-INFOTECH-PRIVATE-LIMITED/U30009MH1996PTC099744,Mumbai,Strike Off
U74999PN2017OPC170873,ASIC NETWORKING SERVICES (OPC) PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIC-NETWORKING-SERVICES-OPC-PRIVATE-LIMITED/U74999PN2017OPC170873,Pune,Active
U72900UP2020PTC128923,ASICLABS PRIVATE LIMITED,https://www.zaubacorp.com/company/ASICLABS-PRIVATE-LIMITED/U72900UP2020PTC128923,Kanpur,Active
U31900MP2015PTC034547,ASICON ELECTRO INNOVATIONS PRIVATE LIMITED,https://www.zaubacorp.com/company/ASICON-ELECTRO-INNOVATIONS-PRIVATE-LIMITED/U31900MP2015PTC034547,Gwalior,Active
U74900WB2015PTC208479,ASICS BUSINESS ENTITY PRIVATE LIMITED,https://www.zaubacorp.com/company/ASICS-BUSINESS-ENTITY-PRIVATE-LIMITED/U74900WB2015PTC208479,Kolkata,Active
U72900WB2019PTC234144,ASICS SERVICES PRIVATE LIMITED,https://www.zaubacorp.com/company/ASICS-SERVICES-PRIVATE-LIMITED/U72900WB2019PTC234144,Kolkata,Active
AAL-4892,ASID AGRO TRADERS LLP,https://www.zaubacorp.com/company/ASID-AGRO-TRADERS-LLP/AAL-4892,Kanpur,Defunct
U72900UR2021PTC012954,ASID INFOTECH PRIVATE LIMITED,https://www.zaubacorp.com/company/ASID-INFOTECH-PRIVATE-LIMITED/U72900UR2021PTC012954,Uttarakhand,Active
U74140WB2008PTC123434,ASIEL CONSULTANTS PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIEL-CONSULTANTS-PRIVATE-LIMITED/U74140WB2008PTC123434,Kolkata,Under Process of Striking Off
U74999DL2017PTC311290,ASIEL MARKETING & COMMUNICATION PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIEL-MARKETING-COMMUNICATION-PRIVATE-LIMITED/U74999DL2017PTC311290,Delhi,Active
U72200KL2011PTC029267,ASIEL TECHNOLOGIES PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIEL-TECHNOLOGIES-PRIVATE-LIMITED/U72200KL2011PTC029267,Ernakulam,Strike Off
U74999MH2014PTC258401,ASIF & SAJID SERVICES PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIF-SAJID-SERVICES-PRIVATE-LIMITED/U74999MH2014PTC258401,Mumbai,Strike Off
U74999TG2017PTC116738,ASIF ASSOCIATES PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIF-ASSOCIATES-PRIVATE-LIMITED/U74999TG2017PTC116738,Hyderabad,Active
U45400UP2009PTC038245,ASIF CONSTRUCTION PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIF-CONSTRUCTION-PRIVATE-LIMITED/U45400UP2009PTC038245,Kanpur,Active
U15400MH2016PTC288554,ASIF FOODS & BEVERAGES PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIF-FOODS-BEVERAGES-PRIVATE-LIMITED/U15400MH2016PTC288554,Mumbai,Active
U51909MH2005PTC156414,ASIF LIGHTING EQUIPMENT TRADING PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIF-LIGHTING-EQUIPMENT-TRADING-PRIVATE-LIMITED/U51909MH2005PTC156414,Mumbai,Strike Off
U55209CH2018PTC042133,ASIF MEHTA HOSPITALITY PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIF-MEHTA-HOSPITALITY-PRIVATE-LIMITED/U55209CH2018PTC042133,Chandigarh,Under Process of Striking Off
U72900MH2021OPC365902,ASIF NAZIR INTERNATIONAL (OPC) PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIF-NAZIR-INTERNATIONAL-OPC-PRIVATE-LIMITED/U72900MH2021OPC365902,Mumbai,Active
AAF-4270,ASIF PROPERTIES LLP,https://www.zaubacorp.com/company/ASIF-PROPERTIES-LLP/AAF-4270,Shillong,Active
U45400DL2007PTC168427,ASIF PROPERTIES PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIF-PROPERTIES-PRIVATE-LIMITED/U45400DL2007PTC168427,Delhi,Converted to LLP
U45309UP2021PTC148058,ASIF SAIFI REAL ESTATE PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIF-SAIFI-REAL-ESTATE-PRIVATE-LIMITED/U45309UP2021PTC148058,Kanpur,Active
U74999TG2019PTC129975,ASIF VIJAYA PROJECTS PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIF-VIJAYA-PROJECTS-PRIVATE-LIMITED/U74999TG2019PTC129975,Hyderabad,Active
AAY-9088,ASIF YAHIYA SUKRI LLP,https://www.zaubacorp.com/company/ASIF-YAHIYA-SUKRI-LLP/AAY-9088,Bangalore,Active
U70102UP2012PTC053970,ASIFA INFRATECH PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIFA-INFRATECH-PRIVATE-LIMITED/U70102UP2012PTC053970,Kanpur,Strike Off
U72900AP2021PTC119738,ASIFA'S AMBITIOUS GLOBAL PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIFA-S-AMBITIOUS-GLOBAL-PRIVATE-LIMITED/U72900AP2021PTC119738,Vijayawada,Active
U51909KL2007PTC020709,ASIFF MERCHANDISE PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIFF-MERCHANDISE-PRIVATE-LIMITED/U51909KL2007PTC020709,Ernakulam,Strike Off
U70109PN2022PTC209087,ASIFPADMA ENTERPRISES PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIFPADMA-ENTERPRISES-PRIVATE-LIMITED/U70109PN2022PTC209087,Pune,Active
U72900PN2004PTC019541,ASIGN CONSULTANTS PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIGN-CONSULTANTS-PRIVATE-LIMITED/U72900PN2004PTC019541,Pune,Strike Off
U74999KA2018OPC109192,ASIGOSEC TECHNOLOGIES (OPC) PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIGOSEC-TECHNOLOGIES-OPC-PRIVATE-LIMITED/U74999KA2018OPC109192,Bangalore,Active
U00222MP1981PTC001884,ASIJA PAPER MILLS PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIJA-PAPER-MILLS-PRIVATE-LIMITED/U00222MP1981PTC001884,Gwalior,Strike Off
U31909DL2002PTC115343,ASIJA SALES PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIJA-SALES-PRIVATE-LIMITED/U31909DL2002PTC115343,Delhi,Active
U74999PN2018PTC177524,ASIJIKI MEDIA PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIJIKI-MEDIA-PRIVATE-LIMITED/U74999PN2018PTC177524,Pune,Active
AAH-8640,ASIKA BUILDERS LLP,https://www.zaubacorp.com/company/ASIKA-BUILDERS-LLP/AAH-8640,Kolkata,Under Process Of Strike Off
AAH-8684,ASIKA REALTOR LLP,https://www.zaubacorp.com/company/ASIKA-REALTOR-LLP/AAH-8684,Kolkata,Under Process Of Strike Off
U52100WB2016PTC217556,ASIKA SUPPLIERS PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIKA-SUPPLIERS-PRIVATE-LIMITED/U52100WB2016PTC217556,Kolkata,Active
U52201ML2014PTC008579,ASILAH AGRO PRIVATE LIMITED,https://www.zaubacorp.com/company/ASILAH-AGRO-PRIVATE-LIMITED/U52201ML2014PTC008579,Shillong,Strike Off
U72900MH2013PTC241561,ASILAYE TECHNOLOGY PRIVATE LIMITED,https://www.zaubacorp.com/company/ASILAYE-TECHNOLOGY-PRIVATE-LIMITED/U72900MH2013PTC241561,Mumbai,Strike Off
AAC-1351,ASILI ENTERPRISES LLP,https://www.zaubacorp.com/company/ASILI-ENTERPRISES-LLP/AAC-1351,Chennai,Active
U80902TG2019PTC136312,ASILO EDUCATIONAL SERVICES PRIVATE LIMITED,https://www.zaubacorp.com/company/ASILO-EDUCATIONAL-SERVICES-PRIVATE-LIMITED/U80902TG2019PTC136312,Hyderabad,Active
AAG-9293,ASILO REALTY LLP,https://www.zaubacorp.com/company/ASILO-REALTY-LLP/AAG-9293,Pune,Active
U15339GJ2021PTC124114,ASILY AGRO AND FOOD PROCESSING PRIVATE LIMITED,https://www.zaubacorp.com/company/ASILY-AGRO-AND-FOOD-PROCESSING-PRIVATE-LIMITED/U15339GJ2021PTC124114,Ahmedabad,Active
U65191TN1997PTC037322,ASIM ABHARI FINANCE PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIM-ABHARI-FINANCE-PRIVATE-LIMITED/U65191TN1997PTC037322,Chennai,Strike Off
U24231GJ1992PTC017293,ASIM CHEMICALS PVT LTD,https://www.zaubacorp.com/company/ASIM-CHEMICALS-PVT-LTD/U24231GJ1992PTC017293,Ahmedabad,Active
U24221CH1989PTC009897,ASIM ENTERPRIESE PVT LTD,https://www.zaubacorp.com/company/ASIM-ENTERPRIESE-PVT-LTD/U24221CH1989PTC009897,Chandigarh,Strike Off
U70101WB1990PTC049721,ASIM HOLDINGS PVT LTD,https://www.zaubacorp.com/company/ASIM-HOLDINGS-PVT-LTD/U70101WB1990PTC049721,Kolkata,Amalgamated
U55100HR2020PTC091744,ASIM HOSPITALITY PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIM-HOSPITALITY-PRIVATE-LIMITED/U55100HR2020PTC091744,Delhi,Active
U45400WB2009PTC132730,ASIM INDUSTRIES PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIM-INDUSTRIES-PRIVATE-LIMITED/U45400WB2009PTC132730,Kolkata,Active
U01403PB2010PTC033979,ASIM IRRIGATIONS PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIM-IRRIGATIONS-PRIVATE-LIMITED/U01403PB2010PTC033979,Chandigarh,Strike Off
U45201MH2006PTC165020,ASIM LAND INFRASTRUCTURE PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIM-LAND-INFRASTRUCTURE-PRIVATE-LIMITED/U45201MH2006PTC165020,Mumbai,Strike Off
U27100MH1993PLC074298,ASIM METALS LIMITED,https://www.zaubacorp.com/company/ASIM-METALS-LIMITED/U27100MH1993PLC074298,Mumbai,Strike Off
U10102MH2002PTC135525,ASIM MINERALS PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIM-MINERALS-PRIVATE-LIMITED/U10102MH2002PTC135525,Mumbai,Active
U33110DL2013PTC253701,ASIM NAVIGATION INDIA PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIM-NAVIGATION-INDIA-PRIVATE-LIMITED/U33110DL2013PTC253701,Delhi,Active
U21096PN2017PTC170202,ASIM PAPER & PACKAGING PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIM-PAPER-PACKAGING-PRIVATE-LIMITED/U21096PN2017PTC170202,Pune,Active
U36999GJ1998PTC033746,ASIM PLAST PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIM-PLAST-PRIVATE-LIMITED/U36999GJ1998PTC033746,Ahmedabad,Active
U51909KA1992PTC012750,ASIMA EXPORTS PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIMA-EXPORTS-PRIVATE-LIMITED/U51909KA1992PTC012750,Bangalore,Strike Off
AAF-4201,ASIMA OVERSEAS LLP,https://www.zaubacorp.com/company/ASIMA-OVERSEAS-LLP/AAF-4201,Ahmedabad,Active
U74999BR2018PTC038735,ASIMEX TRADELINK PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIMEX-TRADELINK-PRIVATE-LIMITED/U74999BR2018PTC038735,Patna,Active
U74999TG2017PTC115473,ASIMOV LABS PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIMOV-LABS-PRIVATE-LIMITED/U74999TG2017PTC115473,Hyderabad,Strike Off
U72200KL2012PTC030973,ASIMOV ROBOTICS PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIMOV-ROBOTICS-PRIVATE-LIMITED/U72200KL2012PTC030973,Ernakulam,Active
U51909AS2010PTC009648,ASIN MARKETING PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIN-MARKETING-PRIVATE-LIMITED/U51909AS2010PTC009648,Shillong,Active
U01132WB1995PTC073343,ASINA TEA ESTATE PVT LTD,https://www.zaubacorp.com/company/ASINA-TEA-ESTATE-PVT-LTD/U01132WB1995PTC073343,Kolkata,Active
U72900KA2021PTC143411,ASINDIA INNOVATIONS PRIVATE LIMITED,https://www.zaubacorp.com/company/ASINDIA-INNOVATIONS-PRIVATE-LIMITED/U72900KA2021PTC143411,Bangalore,Active
U18101DL2005PTC137191,ASINEEMAN FASHIONS PRIVATE LIMITED,https://www.zaubacorp.com/company/ASINEEMAN-FASHIONS-PRIVATE-LIMITED/U18101DL2005PTC137191,Delhi,Active
U33100GJ2020PTC111856,ASIO HEALTHCARE PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIO-HEALTHCARE-PRIVATE-LIMITED/U33100GJ2020PTC111856,Ahmedabad,Active
U74999MH2013PTC247188,ASIOW CONSULTANCY PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIOW-CONSULTANCY-PRIVATE-LIMITED/U74999MH2013PTC247188,Mumbai,Active
U40109MH2016PTC284774,ASIPINC URBAN INFRASTRUCTURE PRIVATE LIMITED,https://www.zaubacorp.com/company/ASIPINC-URBAN-INFRASTRUCTURE-PRIVATE-LIMITED/U40109MH2016PTC284774,Mumbai,Strike Off
