CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,INDUSTRIAL_CLASS,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,REGISTERED_OFFICE_ADDRESS,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,LATEST_YEAR_ANNUAL_RETURN,LATEST_YEAR_FINANCIAL_STATEMENT
U95000GJ2001PTC039527,SECUSAFE INVESTIGATION SERVICES PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,11-05-2001,Gujarat,100000.0,100000.0,95000.0,Activities of private households as employers and undifferentiated production activities of private households,11/A TAKSHASHILA PARK 1ST FLRNR GALAXY CINEMA NH NO 8 NARODA  ,ROC AHMEDABAD,bjt_asso@yahoo.co.in,31-03-2019,31-03-2019
U95000GJ2012PTC070160,JALARAM FACILITY MANAGEMENT PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,02-05-2012,Gujarat,100000.0,100000.0,95000.0,Activities of private households as employers and undifferentiated production activities of private households,"392, JAY AMBE SOCIETY,BAMROLI,  ",ROC AHMEDABAD,caalokgandhi@gmail.com,31-03-2019,31-03-2019
U95000GJ2018PTC104814,STARSON FACILITY SERVICE PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,18-10-2018,Gujarat,100000.0,100000.0,95000.0,Activities of private households as employers and undifferentiated production activities of private households,"103/A-1,OPP. RAYSAN PETROL PUMPVILLAGE- KUDASAN  ",ROC AHMEDABAD,sdacafirm@gmail.com,31-03-2019,31-03-2019
U95000GJ2018PTC105748,RPS PROFESSIONAL SERVICES PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,21-12-2018,Gujarat,100000.0,100000.0,95000.0,Activities of private households as employers and undifferentiated production activities of private households,"142/1696 KARNAVATI APPARTMENT-1SOLA ROAD, NARANPURA  ",ROC AHMEDABAD,Jay@reliableaoc.com,31-03-2019,31-03-2019
U96000GJ2016PTC093220,VIPALI AQUA PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,03-08-2016,Gujarat,100000.0,100000.0,96000.0,Activities of private households as employers and undifferentiated production activities of private households,"1160/0, KALPANANAGAR,OPP-AGRICULTURE COLLAGE GATE, VIJALPORE,  ",ROC AHMEDABAD,vipnil2010@gmail.com,31-03-2019,31-03-2019
U97120GJ2000PTC037936,KGMS BROKING AND RESEARCH PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,03-05-2000,Gujarat,10000000.0,8500000.0,97120.0,Activities of private households as employers and undifferentiated production activities of private households,"A/602 Wall Street - II, Nr Gujarat CollegeCrossing, Opp Orient Club , Ellisbridge  ",ROC AHMEDABAD,karan@kgms.co.in,31-03-2019,31-03-2019
U95000KA2004PTC034025,ATHEOS INFRA SOLUTIONS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,28-05-2004,Karnataka,100000.0,100000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"NO.34, 4TH CROSSVEERAPPA REDDY LAYOUTMUNIKOLALA, MARATHAHALLI  ",ROC BANGALORE,accounts@atheos.co.in,31-03-2018,31-03-2018
U95000KA2005PTC035405,SKMM SCHOOLS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,10-01-2005,Karnataka,500000.0,166670.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"No.421, 100 Feet Road, III BlockKoramangala  ",ROC BANGALORE,nilesh@icapindia.com,31-03-2019,31-03-2019
U95000KA2005PTC036742,LIVING SPACE APARTMENTS SERVICES PRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,11-07-2005,Karnataka,500000.0,100000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,APARTMENT NO. 101STERLIING ALEXANDRIA37 HARRIS ROAD  ,ROC BANGALORE,accounts@livingspace-india.com,31-03-2019,31-03-2019
U95000KA2005PTC036891,CITI STERLING FACILITIES MANAGEMENTPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,04-08-2005,Karnataka,100000.0,100000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"3, 301 3RD FLOOR,139 INFANTRY ROAD,OPP. THE HINDU,  ",ROC BANGALORE,accounts@sterlingestatesindia.com,31-03-2019,31-03-2019
U95000KA2016PTC097039,KANUSHI CHITS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,07-10-2016,Karnataka,1000000.0,1000000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"NO. 2767/1A D4/1A , 5TH MAIN, TEMPLE RAODV V MOHALLA  ",ROC BANGALORE,myramesha@gmail.com,31-03-2019,31-03-2019
U95000KA2017PTC101400,SANSITA JEEVANA PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,16-03-2017,Karnataka,100000.0,100000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"NO. 12, 10TH MAIN ROAD, RMV EXTENSIONSADASHIVANAGAR  ",ROC BANGALORE,shruthiraju@hotmail.com,31-03-2019,31-03-2019
U95000KA2018PTC111279,G7 SURVEILLANCES AND SECURITIES PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,16-03-2018,Karnataka,1000000.0,100000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"136, 1st 'K' Block,above Allahabad Bank,3rd Floor,Dr. Rajkumar Road,Rajajinagar  ",ROC BANGALORE,ravi@g7securities.com,31-03-2019,31-03-2019
U96000KA2016PTC093974,HAIRBORN HAIR TREATMENT PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,09-06-2016,Karnataka,1000000.0,100000.0,96000,Activities of private households as employers and undifferentiated production activities of private households,"# 101, North Block, Pioneer Paradise,J P Nagar, 7th Phase, Puttenahalli,  ",ROC BANGALORE,fchouthai@outlook.com,31-03-2019,31-03-2019
U97000KA2013PTC070760,PITHOO ART & CRAFT SOLUTIONS PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,29-08-2013,Karnataka,100000.0,100000.0,97000,Activities of private households as employers and undifferentiated production activities of private households,"No.3117,Prestige ShantniketanITPL Main Road,Hoody,Mahadevapura Post, Whitefield  ",ROC BANGALORE,deepti310@yahoo.com,31-03-2019,31-03-2019
U97000KA2017PTC106594,TASKIEVERS DELIVERY AND SERVICES PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,21-09-2017,Karnataka,500000.0,500000.0,97000,Activities of private households as employers and undifferentiated production activities of private households,"c5 kavalbairasandra1st floor, Nono 18, 5th cross, gopalappa layout,  ",ROC BANGALORE,PANIGRAHIMR@YAHOO.COM,31-03-2018,31-03-2018
U95000MP2003PLC016252,SHAPPERS MEGA VENTURES LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,12-12-2003,Madhya Pradesh,1000000.0,500000.0,95000.0,Activities of private households as employers and undifferentiated production activities of private households,"B-12, Sanchi Complex, Opposite Board OfficeShivaji Nagar  ",ROC GWALIOR,malwainfra@gmail.com,31-03-2017,31-03-2017
U95000MP2014PTC032955,PROSPEROUS INDIVIDUAL MANPOWER SERVICESPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,23-07-2014,Madhya Pradesh,100000.0,10000.0,95000.0,Activities of private households as employers and undifferentiated production activities of private households,"LG-11, BANSI TRADE CENTRE,581/5 M.G. ROAD,  ",ROC GWALIOR,atulgupta@pims.com.co,31-03-2019,31-03-2019
