CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,INDUSTRIAL_CLASS,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,REGISTERED_OFFICE_ADDRESS,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,LATEST_YEAR_ANNUAL_RETURN,LATEST_YEAR_FINANCIAL_STATEMENT
L99999GJ1914PLC000042,AHMEDABAD KAISER-I-HIND MILLS CO LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,02-10-1914,Gujarat,9900000.0,6187400.0,99999.0,Extraterritorial organizations and bodies,"OUTSIDE RAIPUR GATE,AHMEDABAD-17.   ",ROC AHMEDABAD,akhm_ns@yahoo.com,31-03-2019,31-03-2019
L99999GJ1941PLC000471,SAYAJI INDUSTRIES LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,30-01-1941,Gujarat,50000000.0,31600000.0,99999.0,Extraterritorial organizations and bodies,P.O KATHWADA MAIZE PRODUCTS   ,ROC AHMEDABAD,rhs@sayajigroup.in,31-03-2018,31-03-2019
L99999GJ1958PLC000892,THE BARODA RAYON CORPORATION LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,30-05-1958,Gujarat,1500000000.0,229113590.0,99999.0,Extraterritorial organizations and bodies,P.O.BARODA RAYONUDHNA DIST.  ,ROC AHMEDABAD,brcsurat@gmail.com,31-03-2019,31-03-2019
L99999GJ1962PLC001121,GUJARAT STATE FERTILIZERS & CHEMICALSLIMITED  ,ACTV,Public,Company limited by Shares,Non-govt company,15-02-1962,Gujarat,3600000000.0,796955060.0,99999.0,Extraterritorial organizations and bodies,"P.O. FERTILIZERNAGAR,   ",ROC AHMEDABAD,vishvesh@gsfcltd.com,31-03-2019,31-03-2019
L99999GJ1970PLC100829,PREMIER SYNTHETICS LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,09-10-1970,Gujarat,300000000.0,140932000.0,99999.0,Extraterritorial organizations and bodies,"SURANA HOUSE, BEHND KLASSIC CHAMBERS, SWASTIK XRD, OPP. NARNARAYAN COMPLEX, NAVRANGPURA  ",ROC AHMEDABAD,premiersynthetics@gmail.com,31-03-2019,31-03-2019
L99999GJ1973PLC002260,INDIA GELATINE AND CHEMICALS LTD   ,ACTV,Public,Company limited by Shares,Non-govt company,16-04-1973,Gujarat,125000000.0,70923000.0,99999.0,Extraterritorial organizations and bodies,"703/704,SHILP, 7TH FLOOR, NEAR MUNICIPAL MARKETSHETH C.G. ROAD, NAVRANGPURA  ",ROC AHMEDABAD,igcl@indiagelatine.com,31-03-2019,31-03-2019
L99999GJ1975PLC002859,ATUL LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,11-12-1975,Gujarat,1600000000.0,296617330.0,99999.0,Extraterritorial organizations and bodies,ATUL HOUSEG I PATEL MARG  ,ROC AHMEDABAD,legal@atul.co.in,31-03-2019,31-03-2019
L99999GJ1978PLC003101,MONOLITH INDUSTRIES LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,24-02-1978,Gujarat,22500000.0,13160500.0,99999.0,Extraterritorial organizations and bodies,"Office No. A/2-609, ""Palladium"", Near Orchid Wood,Opp. Divyabhaskar, Corporate Road, Makarba,  ",ROC AHMEDABAD,contact@micl.co.in,31-03-2019,31-03-2019
L99999GJ1980PLC003692,TUBETEC SEAMLESS LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,15-03-1980,Gujarat,40000000.0,29224065.0,99999.0,Extraterritorial organizations and bodies,"44,4TH FLOOR,CITY CENTRE,SWASTIK CHAR RASTAC.G.ROAD. NAVRANGPURA  ",ROC AHMEDABAD,ashokkabra56@yahoo.com,31-03-2014,31-03-2014
L99999GJ1982PLC005253,ASHIMA LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,17-06-1982,Gujarat,1500000000.0,1489538760.0,99999.0,Extraterritorial organizations and bodies,"TEXCELLENCE COMPLEX,KHOKHARA MEHMEDABAD  ",ROC AHMEDABAD,ashima2007@ashima.in,31-03-2019,31-03-2019
