CIN,Company Name,Company Status,RoC,Registration Number,Company Category,Company Sub Category,Class of Company,Date of Incorporation,Age of Company,Activity,Number of Members
U95000GJ2001PTC039527,SECUSAFE INVESTIGATION SERVICES PRIVATE LIMITED,Active,RoC-Ahmedabad,39527,Company limited by Shares,Non-govt company,Private,11 May 2001,"20 years, 10 month, 12 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U95000GJ2012PTC070160,JALARAM FACILITY MANAGEMENT PRIVATE LIMITED,Active,RoC-Ahmedabad,70160,Company limited by Shares,Non-govt company,Private,02 May 2012,"9 years, 10 month, 21 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U95000GJ2018PTC104814,STARSON FACILITY SERVICE PRIVATE LIMITED,Active,RoC-Ahmedabad,104814,Company limited by Shares,Non-govt company,Private,18 October 2018,"3 years, 5 month, 5 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U95000GJ2018PTC105748,RPS PROFESSIONAL SERVICES PRIVATE LIMITED,Active,RoC-Ahmedabad,105748,Company limited by Shares,Non-govt company,Private,21 December 2018,"3 years, 3 month, 2 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U96000GJ2016PTC093220,VIPALI AQUA PRIVATE LIMITED,Active,RoC-Ahmedabad,93220,Company limited by Shares,Non-govt company,Private,03 August 2016,"5 years, 7 month, 20 days","Undifferenciated goods-producing activities of private households for own use. [Includes the undifferenciated subsistence goods-producing activities of households, that is the activities of households, that are engaged in a variety of activities that produce goods for their own subsistence. These activities include hunting and gathering, farming, the production of shelter and clothing and other goods produced by the household for its own subsistence. In application, if household are also engaged in the production of marketed goods, they are classified to the appropriate goods-producing industries of ISIC. If they are principally engaged in a specific goods-producing subsistence activity, they are classified to the appropriate goods-producing industry of NIC}
Click here to see other companies involved in same activity.",-
U97120GJ2000PTC037936,KGMS BROKING AND RESEARCH PRIVATE LIMITED,Active,RoC-Ahmedabad,37936,Company limited by Shares,Non-govt company,Private,03 May 2000,"21 years, 10 month, 20 days","UNDIFFERENCIATED SERVICE-PRODUCING ACTIVITIES OF PRIVATE HOUSEHOLDS FOR OWN USE
Click here to see other companies involved in same activity.",-
U95000KA2004PTC034025,ATHEOS INFRA SOLUTIONS PRIVATE LIMITED,Active,RoC-Bangalore,34025,Company limited by Shares,Non-govt company,Private,28 May 2004,"17 years, 9 month, 26 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U95000KA2005PTC035405,SKMM SCHOOLS PRIVATE LIMITED,Active,RoC-Bangalore,35405,Company limited by Shares,Non-govt company,Private,10 January 2005,"17 years, 2 month, 13 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U95000KA2005PTC036742,LIVING SPACE APARTMENTS SERVICES PRIVATE LIMITED,Active,RoC-Bangalore,36742,Company limited by Shares,Non-govt company,Private,11 July 2005,"16 years, 8 month, 12 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U95000KA2005PTC036891,CITI STERLING FACILITIES MANAGEMENT PRIVATE LIMITED,Active,RoC-Bangalore,36891,Company limited by Shares,Non-govt company,Private,04 August 2005,"16 years, 7 month, 19 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U95000KA2016PTC097039,KANUSHI CHITS PRIVATE LIMITED,Active,RoC-Bangalore,97039,Company limited by Shares,Non-govt company,Private,07 October 2016,"5 years, 5 month, 16 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
