CIN,Company Name,Company Status,RoC,Registration Number,Company Category,Company Sub Category,Class of Company,Date of Incorporation,Age of Company,Activity,Number of Members
L99999GJ1914PLC000042,AHMEDABAD KAISER-I-HIND MILLS CO LIMITED,Active,RoC-Ahmedabad,42,Company limited by Shares,Non-govt company,Public,02 October 1914,"107 years, 5 month, 22 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999GJ1941PLC000471,SAYAJI INDUSTRIES LIMITED,Active,RoC-Ahmedabad,471,Company limited by Shares,Non-govt company,Public,30 January 1941,"81 years, 1 month, 25 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999GJ1958PLC000892,,,,,,,,,,,
L99999GJ1962PLC001121,GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED,Active,RoC-Ahmedabad,1121,Company limited by Shares,Non-govt company,Public,15 February 1962,"60 years, 1 month, 9 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999GJ1970PLC100829,PREMIER SYNTHETICS LIMITED,Active,RoC-Ahmedabad,100829,Company limited by Shares,Non-govt company,Public,09 October 1970,"51 years, 5 month, 15 days","Real estate activities with own or leased property. [This class includes buying, selling, renting and operating of self-owned or leased real estate such as apartment building and dwellings, non-residential buildings, developing and subdividing real estate into lots etc. Also included are development and sale of land and cemetery lots, operating of apartment hotels and residential mobile home sites.(Development on own account involving construction is classified in class 4520).]
Click here to see other companies involved in same activity.",-
L99999GJ1973PLC002260,INDIA GELATINE AND CHEMICALS LTD,Active,RoC-Ahmedabad,2260,Company limited by Shares,Non-govt company,Public,16 April 1973,"48 years, 11 month, 8 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999GJ1975PLC002859,ATUL LIMITED,Active,RoC-Ahmedabad,2859,Company limited by Shares,Non-govt company,Public,11 December 1975,"46 years, 3 month, 13 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999GJ1978PLC003101,MONOLITH INDUSTRIES LIMITED,Active,RoC-Ahmedabad,3101,Company limited by Shares,Non-govt company,Public,24 February 1978,"44 years, 1 month, 0 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999GJ1980PLC003692,TUBETEC SEAMLESS LIMITED,Active,RoC-Ahmedabad,3692,Company limited by Shares,Non-govt company,Public,15 March 1980,"42 years, 0 month, 9 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999GJ1982PLC005253,ASHIMA LIMITED,Active,RoC-Ahmedabad,5253,Company limited by Shares,Non-govt company,Public,17 June 1982,"39 years, 9 month, 7 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999GJ1982PLC096012,ROBERT RESOURCES LIMITED,Active,RoC-Ahmedabad,96012,Company limited by Shares,Non-govt company,Public,04 November 1982,"39 years, 4 month, 20 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999GJ1985PLC007868,GUJARAT INDUSTRIES POWER COMPANY LTD.,Active,RoC-Ahmedabad,7868,Company limited by Shares,Non-govt company,Public,01 June 1985,"36 years, 9 month, 23 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999GJ1985PLC011553,JAYBHARAT TEXTILES AND REAL ESTATE LIMITED,Active,RoC-Ahmedabad,11553,Company limited by Shares,Non-govt company,Public,21 February 1985,"37 years, 1 month, 3 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999GJ1986PLC083614,MUNOTH CAPITAL MARKET LIMITED,Active,RoC-Ahmedabad,83614,Company limited by Shares,Non-govt company,Public,04 September 1986,"35 years, 6 month, 20 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999GJ1987PLC009768,20 MICRONS LIMITED,Active,RoC-Ahmedabad,9768,Company limited by Shares,Non-govt company,Public,29 June 1987,"34 years, 8 month, 25 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999GJ1987PLC022333,HESTER BIOSCIENCES LIMITED,Active,RoC-Ahmedabad,22333,Company limited by Shares,Non-govt company,Public,29 April 1987,"34 years, 10 month, 25 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999GJ1989PLC012213,AREX INDUSTRIES LIMITED,Active,RoC-Ahmedabad,12213,Company limited by Shares,Non-govt company,Public,10 May 1989,"32 years, 10 month, 14 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999GJ1989PTC058691,PATIDAR BUILDCON LIMITED,Active,RoC-Ahmedabad,58691,Company limited by Shares,Non-govt company,Public,16 May 1989,"32 years, 10 month, 8 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999GJ1991PLC015974,HINA FIL INDIA LIMITED,Active,RoC-Ahmedabad,15974,Company limited by Shares,Non-govt company,Public,16 July 1991,"30 years, 8 month, 8 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999GJ1992PLC018626,LAFFANS PETROCHEMICALS LIMITED,Active,RoC-Ahmedabad,18626,Company limited by Shares,Non-govt company,Public,27 November 1992,"29 years, 3 month, 27 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999GJ1993PLC019296,VOLGA AIR TECHNICS LIMITED,Active,RoC-Ahmedabad,19296,Company limited by Shares,Non-govt company,Public,16 April 1993,"28 years, 11 month, 8 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999GJ1993PLC020939,SOFTRAK VENTURE INVESTMENT LIMITED,Active,RoC-Ahmedabad,20939,Company limited by Shares,Non-govt company,Public,24 December 1993,"28 years, 3 month, 0 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999GJ1994PLC022000,ACIL COTTON INDUSTRIES LIMITED,Active,RoC-Ahmedabad,22000,Company limited by Shares,Non-govt company,Public,06 May 1994,"27 years, 10 month, 18 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999GJ1994PLC022932,UNJHA FORMULATIONS LIMITED,Active,RoC-Ahmedabad,22932,Company limited by Shares,Non-govt company,Public,02 September 1994,"27 years, 6 month, 22 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99000GJ1995PTC026348,APEX FLUIDOMATICS PRIVATE LIMITED,Active,RoC-Ahmedabad,26348,Company limited by Shares,Non-govt company,Private,15 June 1995,"26 years, 9 month, 9 days","Extra territorial organizations and bodies [Includes the activities of international organisations such as the United Nations and its agencies, regional bodies etc., IMF, World Bank, European Commission, OPEC etc.]
Click here to see other companies involved in same activity.",-
U99000GJ2006PLC111414,ENTRUST ENVIRONMENT LIMITED,Active,RoC-Ahmedabad,111414,Company limited by Shares,Non-govt company,Public,19 April 2006,"15 years, 11 month, 5 days","Extra territorial organizations and bodies [Includes the activities of international organisations such as the United Nations and its agencies, regional bodies etc., IMF, World Bank, European Commission, OPEC etc.]
Click here to see other companies involved in same activity.",-
U99000GJ2012PLC071683,SHRI JIVANREKHA RESEARCH & MARKETING LIMITED,Active,RoC-Ahmedabad,71683,Company limited by Shares,Non-govt company,Public,24 August 2012,"9 years, 7 month, 0 days","Extra territorial organizations and bodies [Includes the activities of international organisations such as the United Nations and its agencies, regional bodies etc., IMF, World Bank, European Commission, OPEC etc.]
Click here to see other companies involved in same activity.",-
U99999GJ1932PLC000727,SHRI AMARSINHJI STATIONERY INDUSTRIES LIMITED,Active,RoC-Ahmedabad,727,Company limited by Shares,Non-govt company,Public,02 November 1932,"89 years, 4 month, 22 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999GJ1939PTC000143,SADRAWALA BROTHERS PRIVATE LIMITED,Active,RoC-Ahmedabad,143,Company limited by Shares,Non-govt company,Private,02 December 1939,"82 years, 3 month, 22 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999GJ1943PTC000369,JAYESH BOBBIN WORKS PRIVATE LIMITED,Active,RoC-Ahmedabad,369,Company limited by Shares,Non-govt company,Private,18 June 1943,"78 years, 9 month, 6 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999GJ1946PLC000231,NADIAD SAFE DEPOSIT VAULT COMPANY LIMITED,Active,RoC-Ahmedabad,231,Company limited by Shares,Non-govt company,Public,26 June 1946,"75 years, 8 month, 28 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999GJ1947PTC000766,JAYANT CHEMICALS WORKS PVT LTD,Active,RoC-Ahmedabad,766,Company limited by Shares,Non-govt company,Private,14 March 1947,"75 years, 0 month, 10 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999GJ1950PTC000510,SHREE KRISHNA ROLLER FLOOR MILLS PRIVATE LIMITED,Active,RoC-Ahmedabad,510,Company limited by Shares,Non-govt company,Private,29 March 1950,"71 years, 11 month, 26 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999GJ1955PTC000579,NEW VINSTAR SEQUINS PRIVATE LIMITED,Active,RoC-Ahmedabad,579,Company Limited by Guarantee,Non-govt company,Private,24 April 1955,"66 years, 11 month, 0 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999GJ1960PLC001006,TENSILE STEEL LIMITED,Active,RoC-Ahmedabad,1006,Company limited by Shares,Non-govt company,Public,28 November 1960,"61 years, 3 month, 26 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999GJ1960PTC084300,DURATEX LABORATORIES PRIVATE LIMITED,Active,RoC-Ahmedabad,84300,Company limited by Shares,Non-govt company,Private,05 July 1960,"61 years, 8 month, 19 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999GJ1961PTC001025,STAN REL PRIVATE LIMITED,Active,RoC-Ahmedabad,1025,Company Limited by Guarantee,Non-govt company,Private,12 January 1961,"61 years, 2 month, 12 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999GJ1961PTC001390,DEVARSONS INDUSTRIES PRIVATE LIMITED,Active,RoC-Ahmedabad,1390,Company limited by Shares,Non-govt company,Private,01 June 1961,"60 years, 9 month, 23 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999GJ1966NPL001408,GUJARAT URBAN HOUSING COMPANY,Active,RoC-Ahmedabad,1408,Company limited by Shares,Non-govt company,Public,17 August 1966,"55 years, 7 month, 7 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999GJ1970SGC001818,GUJARAT SHEEP AND WOOL DEVELOPMENT CORPORATION LIMITED,Active,RoC-Ahmedabad,1818,Company limited by Shares,State Govt company,Public,09 December 1970,"51 years, 3 month, 15 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999GJ1971PTC109282,AMARDEEP CHEMICALS INDUSTRIES PRIVATE LIMITED,Active,RoC-Ahmedabad,109282,Company limited by Shares,Non-govt company,Private,22 September 1971,"50 years, 6 month, 2 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999GJ1972PTC002144,COOLINE MANUFACTURERS PRIVATE LIMITED,Active,RoC-Ahmedabad,2144,Company limited by Shares,Non-govt company,Private,29 August 1972,"49 years, 6 month, 26 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999GJ1972PTC057315,FLUORESCENT CHEMICAL INDUSTRIES PRIVATE LIMITED,Active,RoC-Ahmedabad,57315,Company limited by Shares,Non-govt company,Private,16 June 1972,"49 years, 9 month, 8 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999GJ1974SGC002635,GUJARAT STATE CONSTRUCTION CORPORATION LIMITED,Active,RoC-Ahmedabad,2635,Company limited by Shares,State Govt company,Public,16 December 1974,"47 years, 3 month, 8 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999GJ1975PTC002852,ARSH INDUSTRIALS & INVESTMENTS PRIVATE LIMITED,Active,RoC-Ahmedabad,2852,Company Limited by Guarantee,Non-govt company,Private,22 November 1975,"46 years, 4 month, 2 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999GJ1976PTC018945,INOX INDIA PRIVATE LIMITED,Active,RoC-Ahmedabad,18945,Company limited by Shares,Non-govt company,Private,21 December 1976,"45 years, 3 month, 3 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999GJ1977PTC002985,KARNATAKA JEWELS PRIVATE LIMITED,Active,RoC-Ahmedabad,2985,Company limited by Shares,Non-govt company,Private,24 February 1977,"45 years, 1 month, 0 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999GJ1978PTC003237,ZADOK PHARMACEUTICALS PRIVATE LIMITED,Active,RoC-Ahmedabad,3237,Company Limited by Guarantee,Non-govt company,Private,27 November 1978,"43 years, 3 month, 27 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999GJ1979PTC111440,D.S. SCREENS PRIVATE LIMITED,Active,RoC-Ahmedabad,111440,Company limited by Shares,Non-govt company,Private,22 January 1979,"43 years, 2 month, 2 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999GJ1980PLC057731,KANDLA HAND TOOLS LIMITED,Active,RoC-Ahmedabad,57731,Company limited by Shares,Non-govt company,Public,30 June 1980,"41 years, 8 month, 24 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999GJ1980PTC003652,PAREKH CABLES PVT LTD,Active,RoC-Ahmedabad,3652,Company Limited by Guarantee,Non-govt company,Private,04 February 1980,"42 years, 1 month, 20 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
